 clasificacion | localidadcnbv |                localidad                | count |   sum   
---------------+---------------+-----------------------------------------+-------+---------
 211190000000  | 1001002       | CIUDAD DE MEXICO                        |    43 | 3030904
 210101000000  | 1001002       | CIUDAD DE MEXICO                        |   302 |  602965
 210101000000  | 1214005       | CELAYA MUNICIPIO DE                     |     2 |    1157
 210101000000  | 1240004       | LEON                                    |     1 |     247
 210101000000  | 1709005       | AMECAMECA                               |     3 |       5
 210101000000  | 1713003       | ATIZAPAN DE ZARAGOZA                    |     2 |      15
 210101000000  | 1720001       | COACALCO                                |    20 |   28218
 211190000000  | 1720001       | COACALCO                                |     6 |  213982
 210101000000  | 1725006       | CUAUTITLAN IZCALLI                      |     8 |    5931
 210101000000  | 1726007       | CHALCO                                  |    10 |    9236
 211190000000  | 1726007       | CHALCO                                  |     1 |    6423
 211190000000  | 1730008       | CHICOLOAPAN                             |     7 |  764769
 210101000000  | 1730008       | CHICOLOAPAN                             |    14 |   39767
 211190000000  | 1732001       | CHIMALHUACAN                            |     3 |  113040
 210101000000  | 1732001       | CHIMALHUACAN                            |    37 |   15288
 210101000000  | 1734006       | ECATEPEC MUNICIPIO DE                   |    71 |   85645
 211190000000  | 1734006       | ECATEPEC MUNICIPIO DE                   |    12 |  112183
 210101000000  | 1736005       | HUEHUETOCA                              |     2 |     286
 211190000000  | 1740003       | IXTAPALUCA MUNICIPIO DE                 |     2 |  137195
 210101000000  | 1740003       | IXTAPALUCA MUNICIPIO DE                 |    21 |   33548
 210101000000  | 1743006       | IXTLAHUACA                              |     2 |   13735
 210101000000  | 1746009       | JILOTEPEC                               |     1 |     133
 210101000000  | 1758003       | NAUCALPAN MUNICIPIO DE                  |     1 |       3
 211190000000  | 1759004       | NETZAHUALCOYOTL                         |    16 |  869051
 210101000000  | 1759004       | NETZAHUALCOYOTL                         |   165 |  355163
 211190000000  | 1771001       | PAZ LA                                  |     6 |  661526
 210101000000  | 1771001       | PAZ LA                                  |     8 |   40308
 210101000000  | 1806006       | TLALNEPANTLA MUNICIPIO DE               |     9 |     919
 211190000000  | 1806006       | TLALNEPANTLA MUNICIPIO DE               |     1 |   22989
 210101000000  | 1811008       | TULTITLAN                               |     2 |      27
 210101000000  | 1934008       | HIDALGO                                 |     1 |     125
 210101000000  | 2111004       | CUAUTLA MUNICIPIO DE                    |     8 |   25021
 210101000000  | 2113005       | CUERNAVACA MUNICIPIO DE                 |     7 |     716
 211190000000  | 2113005       | CUERNAVACA MUNICIPIO DE                 |     1 |    8669
 210101000000  | 2121003       | JIUTEPEC                                |     5 |      49
 210101000000  | 2404005       | ASUNCION CUYOTEPEJI                     |    28 |    5977
 210101000000  | 2405004       | ASUNCION IXTALTEPEC                     |     4 |     579
 211190000000  | 2406006       | ASUNCION NOCHIXTLAN                     |   242 | 9216498
 210101000000  | 2406006       | ASUNCION NOCHIXTLAN                     |  2833 | 3208209
 210101000000  | 2413002       | CIENEGA LA                              |     1 |       0
 211190000000  | 2418003       | CONCEPCION BUENAVISTA                   |    17 |  432365
 210101000000  | 2418003       | CONCEPCION BUENAVISTA                   |   152 |   80008
 210101000000  | 2419005       | CONCEPCION PAPALO                       |     6 |    2933
 210101000000  | 2420004       | CONSTANCIA DEL ROSARIO                  |     1 |    2083
 210101000000  | 2422008       | COSOLTEPEC                              |    25 |   40939
 210101000000  | 2423001       | CUILAPAN DE GUERRERO                    |   102 |   74286
 211190000000  | 2423001       | CUILAPAN DE GUERRERO                    |     4 |   16351
 210101000000  | 2425005       | CHALCATONGO DE HIDALGO                  |     1 |     307
 210101000000  | 2431005       | FRESNILLO DE TRUJANO                    |    29 |    2519
 210101000000  | 2432004       | GUADALUPE ETLA                          |     8 |    3064
 211190000000  | 2438007       | HUAJUAPAN DE LEON                       |    87 | 3692175
 210101000000  | 2438007       | HUAJUAPAN DE LEON                       |  2467 | 1680371
 210101000000  | 2442006       | JUCHITAN DE ZARAGOZA MUNICIPIO DE       |     1 |    5798
 210101000000  | 2444004       | MAGDALENA APASCO                        |    30 |    3130
 211190000000  | 2444004       | MAGDALENA APASCO                        |     1 |    4112
 211190000000  | 2445003       | MAGDALENA JALTEPEC                      |    12 |  358699
 210101000000  | 2445003       | MAGDALENA JALTEPEC                      |   276 |  119734
 210101000000  | 2446005       | MAGDALENA JICOTLAN                      |     3 |       0
 210101000000  | 2450001       | MAGDALENA TEITIPAC                      |     2 |     431
 210101000000  | 2453007       | MAGDALENA ZAHUATLAN                     |    19 |    5900
 211190000000  | 2453007       | MAGDALENA ZAHUATLAN                     |     5 |  239025
 210101000000  | 2454003       | MARISCAL DE JUAREZ                      |    59 |    7241
 211190000000  | 2454003       | MARISCAL DE JUAREZ                      |     3 |   12321
 210101000000  | 2458008       | MIAHUATLAN DE PORFIRIO DIAZ             |     2 |      91
 210101000000  | 2462001       | NAZARENO ETLA                           |    12 |   13789
 211190000000  | 2462001       | NAZARENO ETLA                           |     1 |    3491
 211190000000  | 2466009       | OAXACA DE JUAREZ                        |    66 | 4649312
 210101000000  | 2466009       | OAXACA DE JUAREZ                        |  2589 | 1911217
 210101000000  | 2467005       | OCOTLAN DE MORELOS                      |    20 |    2012
 210101000000  | 2472003       | PUTLA DE GUERRERO                       |     8 |    7821
 210101000000  | 2476002       | REYES ETLA                              |     1 |     180
 210101000000  | 2477007       | ROJAS DE CUAUHTEMOC                     |     4 |     829
 210101000000  | 2478006       | SALINA CRUZ                             |     1 |       7
 210101000000  | 2480007       | SAN AGUSTIN ATENANGO                    |     2 |    1263
 210101000000  | 2482002       | SAN AGUSTIN DE LAS JUNTAS               |    44 |   39037
 211190000000  | 2482002       | SAN AGUSTIN DE LAS JUNTAS               |     1 |    4172
 210101000000  | 2483004       | SAN AGUSTIN ETLA                        |    12 |    2548
 210101000000  | 2486001       | SAN AGUSTIN YATARENI                    |     5 |    1180
 211190000000  | 2488005       | SAN ANDRES DINICUITI                    |     3 |   11684
 210101000000  | 2488005       | SAN ANDRES DINICUITI                    |    43 |   14270
 211190000000  | 2490003       | SAN ANDRES HUAYAPAN                     |     3 |   12315
 210101000000  | 2490003       | SAN ANDRES HUAYAPAN                     |    16 |    4181
 211190000000  | 2491008       | SAN ANDRES IXTLAHUACA                   |     1 |    4115
 210101000000  | 2491008       | SAN ANDRES IXTLAHUACA                   |     5 |    1150
 210101000000  | 2492007       | SAN ANDRES LAGUNAS                      |    10 |   30956
 211190000000  | 2492007       | SAN ANDRES LAGUNAS                      |     6 |   38851
 210101000000  | 2493009       | SAN ANDRES NUXIÑO                       |    36 |    7488
 211190000000  | 2493009       | SAN ANDRES NUXIÑO                       |     2 |   21149
 210101000000  | 2495004       | SAN ANDRES SINAXTLA                     |   182 |  286504
 211190000000  | 2495004       | SAN ANDRES SINAXTLA                     |    16 |  521138
 210101000000  | 2502009       | SAN ANDRES ZAUTLA                       |     1 |     105
 210101000000  | 2503008       | SAN ANTONIO CASTILLO VELASCO            |     1 |     221
 211190000000  | 2505006       | SAN ANTONIO MONTEVERDE                  |    49 | 1402463
 210101000000  | 2505006       | SAN ANTONIO MONTEVERDE                  |   161 |   64277
 211190000000  | 2507007       | SAN ANTONIO DE LA CAL                   |     9 |  236639
 210101000000  | 2507007       | SAN ANTONIO DE LA CAL                   |   139 |  254115
 210101000000  | 2508003       | SAN ANTONIO HUITEPEC                    |     2 |   14873
 211190000000  | 2508003       | SAN ANTONIO HUITEPEC                    |     2 |  174866
 210101000000  | 2515002       | SAN BARTOLO COYOTEPEC                   |    38 |   12863
 211190000000  | 2515002       | SAN BARTOLO COYOTEPEC                   |     1 |    4023
 210101000000  | 2525004       | SAN CRISTOBAL AMATLAN                   |   241 |  186742
 211190000000  | 2528001       | SAN CRISTOBAL SUCHISTLAHUACA            |     9 |  270053
 210101000000  | 2528001       | SAN CRISTOBAL SUCHISTLAHUACA            |   266 |  124441
 211190000000  | 2534007       | SAN FELIPE TEJALAPAN                    |     1 |    4125
 210101000000  | 2534007       | SAN FELIPE TEJALAPAN                    |    80 |    7906
 210101000000  | 2539008       | SAN FRANCISCO CHINDUA                   |    69 |   52672
 211190000000  | 2539008       | SAN FRANCISCO CHINDUA                   |    14 |  433107
 210101000000  | 2543001       | SAN FRANCISCO JALTEPETONGO              |    29 |   41286
 211190000000  | 2544003       | SAN FRANCISCO LACHIGOLO                 |     1 |    4127
 210101000000  | 2544003       | SAN FRANCISCO LACHIGOLO                 |    14 |    2070
 210101000000  | 2546007       | SAN FRANCISCO NUXAÑO                    |    19 |    4296
 211190000000  | 2546007       | SAN FRANCISCO NUXAÑO                    |     2 |   19044
 210101000000  | 2548005       | SAN FRANCISCO SOLA                      |     2 |     634
 211190000000  | 2549004       | SAN FRANCISCO TELIXTLAHUACA             |     1 |    4090
 210101000000  | 2549004       | SAN FRANCISCO TELIXTLAHUACA             |     7 |     963
 210101000000  | 2550006       | SAN FRANCISCO TEOPAN                    |    12 |    1394
 210101000000  | 2555001       | SAN ILDEFONSO VILLA ALTA                |     3 |     338
 211190000000  | 2555001       | SAN ILDEFONSO VILLA ALTA                |     1 |   55140
 210101000000  | 2556009       | SAN JACINTO AMILPAS                     |    65 |   14655
 211190000000  | 2556009       | SAN JACINTO AMILPAS                     |    10 |   49705
 211190000000  | 2559006       | SAN JERONIMO SILACAYOAPILLA             |     3 |   12401
 210101000000  | 2559006       | SAN JERONIMO SILACAYOAPILLA             |    52 |   10341
 211190000000  | 2560005       | SAN JERONIMO SOSOLA                     |     7 |  207452
 210101000000  | 2560005       | SAN JERONIMO SOSOLA                     |    64 |   51440
 210101000000  | 2563002       | SAN JORGE NUCHITA                       |     5 |      39
 210101000000  | 2564004       | SAN JOSE AYUQUILA                       |    25 |    4337
 211190000000  | 2573007       | SAN JUAN BAUTISTA ANIMAS TRUJANO        |    10 |   45604
 210101000000  | 2573007       | SAN JUAN BAUTISTA ANIMAS TRUJANO        |    62 |   31584
 210101000000  | 2574009       | SAN JUAN BAUTISTA ATATLAHUACA           |     1 |       7
 211190000000  | 2575005       | SAN JUAN BAUTISTA COIXTLAHUACA          |   111 | 4615740
 210101000000  | 2575005       | SAN JUAN BAUTISTA COIXTLAHUACA          |  1503 | 1386550
 210101000000  | 2576004       | SAN JUAN BAUTISTA CUICATLAN             |   512 |  134644
 211190000000  | 2576004       | SAN JUAN BAUTISTA CUICATLAN             |    24 |   99826
 210101000000  | 2577006       | SAN JUAN BAUTISTA GUELACHE              |    61 |   10123
 211190000000  | 2577006       | SAN JUAN BAUTISTA GUELACHE              |     2 |    8154
 210101000000  | 2579001       | SAN JUAN BAUTISTA 1o. DE SOTO           |    25 |     616
 211190000000  | 2580003       | SAN JUAN BAUTISTA SUCHITEPEC            |     1 |    4127
 210101000000  | 2580003       | SAN JUAN BAUTISTA SUCHITEPEC            |    53 |   21924
 210101000000  | 2583009       | SAN JUAN BAUTISTA TUXTEPEC MUNICIPIO DE |     2 |     404
 210101000000  | 2592009       | SAN JUAN DEL ESTADO                     |     2 |    1531
 211190000000  | 2594001       | SAN JUAN DIUXI                          |     3 |   31011
 210101000000  | 2594001       | SAN JUAN DIUXI                          |    63 |   23754
 211190000000  | 2606004       | SAN JUAN LOS CUES                       |     2 |    8370
 210101000000  | 2606004       | SAN JUAN LOS CUES                       |    25 |    2317
 210101000000  | 2612001       | SAN JUAN OZOLOTEPEC                     |     1 |   57091
 211190000000  | 2616003       | SAN JUAN SAYULTEPEC                     |    11 |  482350
 210101000000  | 2616003       | SAN JUAN SAYULTEPEC                     |   145 |   80352
 211190000000  | 2618004       | SAN JUAN TAMAZOLA                       |     8 |  138040
 210101000000  | 2618004       | SAN JUAN TAMAZOLA                       |    29 |   27963
 210101000000  | 2621004       | SAN JUAN TEPEUXILA                      |     2 |      19
 211190000000  | 2622006       | SAN JUAN TEPOSCOLULA                    |     3 |   31130
 210101000000  | 2622006       | SAN JUAN TEPOSCOLULA                    |    84 |   35264
 211190000000  | 2625003       | SAN JUAN YUCUITA                        |    14 |  331033
 210101000000  | 2625003       | SAN JUAN YUCUITA                        |   147 |  107888
 210101000000  | 2628009       | SAN LORENZO CACAOTEPEC                  |    42 |    9682
 211190000000  | 2628009       | SAN LORENZO CACAOTEPEC                  |     1 |    4077
 210101000000  | 2638002       | SAN MARCOS ARTEAGA                      |    66 |   13531
 210101000000  | 2640006       | SAN MARTIN HUAMELULPAN                  |   215 |  198229
 211190000000  | 2640006       | SAN MARTIN HUAMELULPAN                  |    24 |  757459
 210101000000  | 2644002       | SAN MARTIN TILCAJETE                    |     1 |      28
 210101000000  | 2645004       | SAN MARTIN TOXPALAN                     |     2 |     480
 211190000000  | 2649006       | SAN MATEO DEL MAR                       |     1 |    2474
 210101000000  | 2649006       | SAN MATEO DEL MAR                       |     1 |     892
 211190000000  | 2651001       | SAN MATEO ETLATONGO                     |    12 |  221535
 210101000000  | 2651001       | SAN MATEO ETLATONGO                     |    97 |  106154
 210101000000  | 2656005       | SAN MATEO SINDIHUI                      |    11 |    5433
 210101000000  | 2657004       | SAN MATEO TLAPILTEPEC                   |    14 |    2418
 211190000000  | 2657004       | SAN MATEO TLAPILTEPEC                   |     2 |   18149
 210101000000  | 2659002       | SAN MIGUEL ACHIUTLA                     |     3 |     581
 211190000000  | 2662005       | SAN MIGUEL AMATITLAN                    |     2 |    8320
 210101000000  | 2662005       | SAN MIGUEL AMATITLAN                    |    24 |    6353
 210101000000  | 2665002       | SAN MIGUEL CHICAHUA                     |   183 |   87358
 211190000000  | 2665002       | SAN MIGUEL CHICAHUA                     |    63 | 2133568
 210101000000  | 2670003       | SAN MIGUEL EL GRANDE                    |     1 |      56
 210101000000  | 2671002       | SAN MIGUEL HUAUTLA                      |    16 |   17493
 211190000000  | 2671002       | SAN MIGUEL HUAUTLA                      |     3 |   22713
 211190000000  | 2682009       | SAN MIGUEL TECOMATLAN                   |     4 |  183122
 210101000000  | 2682009       | SAN MIGUEL TECOMATLAN                   |    35 |   32777
 211190000000  | 2684004       | SAN MIGUEL TEQUISTEPEC                  |    20 |  399841
 210101000000  | 2684004       | SAN MIGUEL TEQUISTEPEC                  |   253 |   68832
